"RelativePath","Name","Extension","Length","SizeMB"
"models\checkpoints\archive\visual_fold_checkpoints\vis_fold0_tmp_v10.pth","vis_fold0_tmp_v10.pth",".pth","113193067","107.95"
"models\checkpoints\archive\visual_fold_checkpoints\vis_fold1_tmp_v10.pth","vis_fold1_tmp_v10.pth",".pth","113192875","107.95"
"models\checkpoints\archive\visual_fold_checkpoints\vis_fold2_tmp_v10.pth","vis_fold2_tmp_v10.pth",".pth","113192939","107.95"
"models\checkpoints\archive\visual_fold_checkpoints\vis_fold3_tmp_v10.pth","vis_fold3_tmp_v10.pth",".pth","113192875","107.95"
"models\checkpoints\archive\visual_fold_checkpoints\vis_fold4_tmp_v10.pth","vis_fold4_tmp_v10.pth",".pth","113192875","107.95"
"models\checkpoints\baselines\embedding_lstm\ckpt_B2_EmbLSTM_seed123.pth","ckpt_B2_EmbLSTM_seed123.pth",".pth","2279813","2.17"
"models\checkpoints\baselines\embedding_lstm\ckpt_B2_EmbLSTM_seed2025.pth","ckpt_B2_EmbLSTM_seed2025.pth",".pth","2279829","2.17"
"models\checkpoints\baselines\embedding_lstm\ckpt_B2_EmbLSTM_seed42.pth","ckpt_B2_EmbLSTM_seed42.pth",".pth","2279797","2.17"
"models\checkpoints\baselines\embedding_lstm\ckpt_B2_EmbLSTM_seed777.pth","ckpt_B2_EmbLSTM_seed777.pth",".pth","2279813","2.17"
"models\checkpoints\baselines\embedding_lstm\ckpt_B2_EmbLSTM_seed999.pth","ckpt_B2_EmbLSTM_seed999.pth",".pth","2279813","2.17"
"models\checkpoints\baselines\gru\ckpt_B2b_GRU_seed123.pth","ckpt_B2b_GRU_seed123.pth",".pth","1884437","1.8"
"models\checkpoints\baselines\gru\ckpt_B2b_GRU_seed2025.pth","ckpt_B2b_GRU_seed2025.pth",".pth","1884453","1.8"
"models\checkpoints\baselines\gru\ckpt_B2b_GRU_seed42.pth","ckpt_B2b_GRU_seed42.pth",".pth","1884421","1.8"
"models\checkpoints\baselines\gru\ckpt_B2b_GRU_seed777.pth","ckpt_B2b_GRU_seed777.pth",".pth","1884437","1.8"
"models\checkpoints\baselines\gru\ckpt_B2b_GRU_seed999.pth","ckpt_B2b_GRU_seed999.pth",".pth","1884437","1.8"
"models\checkpoints\baselines\mlp\ckpt_B1_MLP_seed123.pth","ckpt_B1_MLP_seed123.pth",".pth","1779069","1.7"
"models\checkpoints\baselines\mlp\ckpt_B1_MLP_seed2025.pth","ckpt_B1_MLP_seed2025.pth",".pth","1779084","1.7"
"models\checkpoints\baselines\mlp\ckpt_B1_MLP_seed42.pth","ckpt_B1_MLP_seed42.pth",".pth","1779054","1.7"
"models\checkpoints\baselines\mlp\ckpt_B1_MLP_seed777.pth","ckpt_B1_MLP_seed777.pth",".pth","1779069","1.7"
"models\checkpoints\baselines\mlp\ckpt_B1_MLP_seed999.pth","ckpt_B1_MLP_seed999.pth",".pth","1779069","1.7"
"models\checkpoints\baselines\no_temporal\ckpt_B5_NoTemporal_seed123.pth","ckpt_B5_NoTemporal_seed123.pth",".pth","213271","0.2"
"models\checkpoints\baselines\no_temporal\ckpt_B5_NoTemporal_seed2025.pth","ckpt_B5_NoTemporal_seed2025.pth",".pth","213285","0.2"
"models\checkpoints\baselines\no_temporal\ckpt_B5_NoTemporal_seed42.pth","ckpt_B5_NoTemporal_seed42.pth",".pth","213257","0.2"
"models\checkpoints\baselines\no_temporal\ckpt_B5_NoTemporal_seed777.pth","ckpt_B5_NoTemporal_seed777.pth",".pth","213271","0.2"
"models\checkpoints\baselines\no_temporal\ckpt_B5_NoTemporal_seed999.pth","ckpt_B5_NoTemporal_seed999.pth",".pth","213271","0.2"
"models\checkpoints\baselines\tcn\ckpt_B3_TCN_seed123.pth","ckpt_B3_TCN_seed123.pth",".pth","5434974","5.18"
"models\checkpoints\baselines\tcn\ckpt_B3_TCN_seed2025.pth","ckpt_B3_TCN_seed2025.pth",".pth","5435007","5.18"
"models\checkpoints\baselines\tcn\ckpt_B3_TCN_seed42.pth","ckpt_B3_TCN_seed42.pth",".pth","5434941","5.18"
"models\checkpoints\baselines\tcn\ckpt_B3_TCN_seed777.pth","ckpt_B3_TCN_seed777.pth",".pth","5434974","5.18"
"models\checkpoints\baselines\tcn\ckpt_B3_TCN_seed999.pth","ckpt_B3_TCN_seed999.pth",".pth","5434974","5.18"
"models\checkpoints\baselines\transformer\ckpt_B4_Transformer_seed123.pth","ckpt_B4_Transformer_seed123.pth",".pth","9215413","8.79"
"models\checkpoints\baselines\transformer\ckpt_B4_Transformer_seed2025.pth","ckpt_B4_Transformer_seed2025.pth",".pth","9215477","8.79"
"models\checkpoints\baselines\transformer\ckpt_B4_Transformer_seed42.pth","ckpt_B4_Transformer_seed42.pth",".pth","9215349","8.79"
"models\checkpoints\baselines\transformer\ckpt_B4_Transformer_seed777.pth","ckpt_B4_Transformer_seed777.pth",".pth","9215413","8.79"
"models\checkpoints\baselines\transformer\ckpt_B4_Transformer_seed999.pth","ckpt_B4_Transformer_seed999.pth",".pth","9215413","8.79"
"models\checkpoints\final\core\best_coral_v10.pth","best_coral_v10.pth",".pth","920553","0.88"
"models\checkpoints\final\core\best_segnet_v8.pth","best_segnet_v8.pth",".pth","37958443","36.2"
"models\checkpoints\final\core\best_severity_net_v10.pth","best_severity_net_v10.pth",".pth","1041075","0.99"
"models\checkpoints\final\core\best_visual_model_v10.pth","best_visual_model_v10.pth",".pth","113141115","107.9"
"models\checkpoints\final\core\checkpoint_prognosis_v10.pth","checkpoint_prognosis_v10.pth",".pth","35307804","33.67"
"models\checkpoints\final\core\checkpoint_segnet_v8.pth","checkpoint_segnet_v8.pth",".pth","113178793","107.94"
"models\checkpoints\final\core\coral_ckpt_v10.pth","coral_ckpt_v10.pth",".pth","3684712","3.51"
"models\checkpoints\final\core\sev_ckpt_v10.pth","sev_ckpt_v10.pth",".pth","1040617","0.99"
"models\checkpoints\final\core\vis_ckpt_v10.pth","vis_ckpt_v10.pth",".pth","113138311","107.9"
"models\checkpoints\final\prognosis\best_prognosis_net_v10.pth","best_prognosis_net_v10.pth",".pth","8854413","8.44"
"models\checkpoints\final\prognosis\best_prognosis_net_v10_seed123.pth","best_prognosis_net_v10_seed123.pth",".pth","9022445","8.6"
"models\checkpoints\final\prognosis\best_prognosis_net_v10_seed2025.pth","best_prognosis_net_v10_seed2025.pth",".pth","9022531","8.6"
"models\checkpoints\final\prognosis\best_prognosis_net_v10_seed42.pth","best_prognosis_net_v10_seed42.pth",".pth","9022359","8.6"
"models\checkpoints\final\prognosis\best_prognosis_net_v10_seed777.pth","best_prognosis_net_v10_seed777.pth",".pth","9022445","8.6"
"models\checkpoints\final\prognosis\best_prognosis_net_v10_seed999.pth","best_prognosis_net_v10_seed999.pth",".pth","9022445","8.6"
"notebooks\version-v10.ipynb","version-v10.ipynb",".ipynb","337343","0.32"
"results\README.md","README.md",".md","424","0"
"results\analysis\baselines_ablations_results.csv","baselines_ablations_results.csv",".csv","2605","0"
"results\analysis\class_distribution.csv","class_distribution.csv",".csv","3125","0"
"results\analysis\eligible_classes.csv","eligible_classes.csv",".csv","3326","0"
"results\analysis\failure_analysis_report.csv","failure_analysis_report.csv",".csv","775","0"
"results\analysis\prognosis_train_log_v10.csv","prognosis_train_log_v10.csv",".csv","2715","0"
"results\analysis\sequence_augmentation_stats_v10.csv","sequence_augmentation_stats_v10.csv",".csv","90","0"
"results\analysis\training_log_segnet_v8.csv","training_log_segnet_v8.csv",".csv","9376","0.01"
"results\calibration\calibration_coverage.csv","calibration_coverage.csv",".csv","373","0"
"results\calibration\calibration_reliability_curve.png","calibration_reliability_curve.png",".png","164964","0.16"
"results\calibration\conformal_quantiles_v10.pkl","conformal_quantiles_v10.pkl",".pkl","49","0"
"results\calibration\curve_residuals_v10.pkl","curve_residuals_v10.pkl",".pkl","5326","0.01"
"results\calibration\coral\coral_prob_cf_v10.npy","coral_prob_cf_v10.npy",".npy","6088","0.01"
"results\calibration\coral\coral_prob_te_v10.npy","coral_prob_te_v10.npy",".npy","18688","0.02"
"results\calibration\coral\coral_prob_tr_v10.npy","coral_prob_tr_v10.npy",".npy","83828","0.08"
"results\calibration\coral\coral_prob_va_v10.npy","coral_prob_va_v10.npy",".npy","18088","0.02"
"results\calibration\coral\coral_sev_cf_v10.npy","coral_sev_cf_v10.npy",".npy","1320","0"
"results\calibration\coral\coral_sev_te_v10.npy","coral_sev_te_v10.npy",".npy","3840","0"
"results\calibration\coral\coral_sev_tr_v10.npy","coral_sev_tr_v10.npy",".npy","16868","0.02"
"results\calibration\coral\coral_sev_va_v10.npy","coral_sev_va_v10.npy",".npy","3720","0"
"results\metrics\classification_metrics_v10.csv","classification_metrics_v10.csv",".csv","145","0"
"results\metrics\prognosis_metrics_v10.csv","prognosis_metrics_v10.csv",".csv","662","0"
"results\metrics\robustness_metrics_v10.csv","robustness_metrics_v10.csv",".csv","233","0"
"results\metrics\severity_statistics.csv","severity_statistics.csv",".csv","10159","0.01"
"results\metrics\test_metrics_segnet_v8.csv","test_metrics_segnet_v8.csv",".csv","109","0"
"results\predictions\classification_report_v10_test.csv","classification_report_v10_test.csv",".csv","1547","0"
"results\predictions\classification_report_v10_test_seed_123.csv","classification_report_v10_test_seed_123.csv",".csv","1547","0"
"results\predictions\classification_report_v10_test_seed_42.csv","classification_report_v10_test_seed_42.csv",".csv","1547","0"
"results\predictions\classification_report_v10_test_seed_999.csv","classification_report_v10_test_seed_999.csv",".csv","1547","0"
"results\predictions\classification_report_v10_val.csv","classification_report_v10_val.csv",".csv","1668","0"
"results\predictions\detailed_predictions_test.csv","detailed_predictions_test.csv",".csv","3074854","2.93"
"results\predictions\predictions_test_v10.csv","predictions_test_v10.csv",".csv","59521","0.06"
"results\predictions\predictions_val_v10.csv","predictions_val_v10.csv",".csv","56207","0.05"
"results\representations\attention_sample_trajectories.png","attention_sample_trajectories.png",".png","322691","0.31"
"results\representations\vis_cf_v10.npy","vis_cf_v10.npy",".npy","610432","0.58"
"results\representations\vis_te_v10.npy","vis_te_v10.npy",".npy","1900672","1.81"
"results\representations\vis_tr_v10.npy","vis_tr_v10.npy",".npy","8571008","8.17"
"results\representations\vis_va_v10.npy","vis_va_v10.npy",".npy","1839232","1.75"
"results\tables\table1_baseline_comparison.csv","table1_baseline_comparison.csv",".csv","733","0"
"results\tables\table2_ablation_study.csv","table2_ablation_study.csv",".csv","646","0"
"results\tables\table3_efficiency_metrics.csv","table3_efficiency_metrics.csv",".csv","538","0"
"results\tables\table4_cross_domain.csv","table4_cross_domain.csv",".csv","73","0"
"results\tables\table5_severity_wise.csv","table5_severity_wise.csv",".csv","219","0"
"scripts\00_prognosis_master_builder_v10.py","00_prognosis_master_builder_v10.py",".py","19179","0.02"
"scripts\01_research_grade_v10.py","01_research_grade_v10.py",".py","77173","0.07"
"scripts\02_prognosisnet_v10.py","02_prognosisnet_v10.py",".py","37742","0.04"
"scripts\03_coffee_sequence_builder_v10.py","03_coffee_sequence_builder_v10.py",".py","18668","0.02"
"scripts\04_cross_domain_coffee_evaluation.py","04_cross_domain_coffee_evaluation.py",".py","14449","0.01"
"scripts\05_baselines_ablations_v10.py","05_baselines_ablations_v10.py",".py","62189","0.06"
"scripts\06_elsevier_figure_generation.py","06_elsevier_figure_generation.py",".py","41480","0.04"
"scripts\07_inventory_dataset_files.py","07_inventory_dataset_files.py",".py","965","0"
"scripts\organize_v10.ps1","organize_v10.ps1",".ps1","15391","0.01"
